company_name,industry,employee_count,annual_revenue_usd,founding_year,tech_stack,country
Nova Solutions,Technology,300,20000000,2015,"AWS, Kubernetes, React",US
Apex Health,Healthcare,150,8000000,2018,"Azure, Custom ERP, Slack",US
Pinnacle Finance,Financial Services,450,80000000,2005,"Bloomberg, Python, Snowflake",US
Summit Manufacturing,Manufacturing,700,55000000,1998,"SAP S/4HANA, Siemens PLM",US
Vertex Retail,Retail,180,15000000,2016,"Shopify Plus, Google Cloud, Klaviyo",CA
Meridian Logistics,Transportation,250,30000000,2011,"Oracle WMS, Tableau, Python",US
Zenith Media,Media & Entertainment,60,4000000,2020,"AWS, Segment, HubSpot",US
Orbit Energy,Energy & Utilities,900,350000000,1978,"Legacy SCADA, Oracle, Excel",US
Comet SaaS,Technology,220,28000000,2016,"Stripe, GCP, Intercom",US
Aurora Pharma,Healthcare,350,65000000,2008,"Veeva, Salesforce, Azure",US
